estado_empresa,cnae_empresa,capital_empresa,processos_judiciais_empresa,idade_empresa,socios_empresa,fornecedor_empresa
PI,4321500,708558,0,10,3,MEL789
SC,4221902,536279,4,5,4,MEL789
MA,3511501,992601,0,9,2,MEL789
PR,4742300,727957,0,6,2,FOO456
CE,3313901,649974,0,4,4,CABL951
RO,4321500,15504,0,3,3,FOO456
AL,4321500,863857,4,6,1,MEL789
RR,2731700,860999,0,15,1,XPTO123
AP,3329599,637411,0,5,3,XPTO123
SP,4673700,939397,0,14,2,CABL951
SP,4322301,859296,3,14,1,JJF753
MS,4221902,778866,0,11,3,MEL789
SE,4669999,507334,0,6,4,JJF753
RS,4754703,936408,0,13,3,CABL951
MS,4673700,771065,2,14,2,XPTO123
SE,3313901,625315,4,20,2,FOO456
PE,4321500,242738,0,13,4,XPTO123
AC,2731700,938719,4,19,2,FOO456
AM,3329599,699428,0,2,3,JJF753
AP,2821602,665247,0,18,2,CABL951
PE,2821601,394601,0,9,2,JJF753
PI,2821601,467225,0,6,3,XPTO123
PA,4754703,610820,0,18,2,FOO456
RN,3511502,571379,4,16,2,FOO456
AC,3511500,658954,0,2,2,CABL951
DF,4322301,888027,3,15,3,MEL789
SP,4321500,530268,0,11,1,CABL951
PB,4221902,812268,0,9,2,FOO456
SE,4322301,127796,1,19,1,MEL789
RO,3511502,590500,0,16,2,XPTO123
RR,2821602,593572,0,17,2,XPTO123
DF,4669999,847240,0,6,2,XPTO123
TO,4742300,531426,0,21,4,XPTO123
AC,3321000,740035,0,8,4,CABL951
SC,4322303,371611,0,7,3,XPTO123
RN,4754703,584333,3,13,4,MEL789
MS,3511502,128376,1,12,4,FOO456
PE,3511500,207224,0,19,3,XPTO123
MT,2731700,778132,1,14,2,FOO456
RR,4669999,791921,4,13,2,JJF753
GO,4221902,665394,0,12,1,XPTO123
CE,4221902,80979,0,17,1,JJF753
PA,2731700,576462,1,17,4,XPTO123
AM,3313901,690122,4,1,4,CABL951
RO,4221902,598438,0,20,1,FOO456
SP,4673700,441551,0,11,3,MEL789
PB,2731700,653791,0,14,2,CABL951
SP,2731700,313221,0,8,2,CABL951
GO,4221903,45163,3,9,3,JJF753
CE,3511501,992649,0,6,2,MEL789
SE,4754703,924881,0,18,3,MEL789
RN,4322302,935178,4,15,2,CABL951
BA,4322301,580524,0,17,3,MEL789
GO,4321500,669886,0,11,1,XPTO123
AC,4321500,452228,0,1,1,CABL951
RO,2821601,697362,2,21,3,FOO456
AC,4742300,843086,0,17,4,JJF753
AM,4742300,538141,0,16,3,XPTO123
PI,4673700,921489,2,21,4,JJF753
AC,3511501,918754,0,2,4,FOO456
AP,4321500,255090,1,18,4,XPTO123
MA,4221902,120269,0,10,2,JJF753
PI,4322302,632105,3,21,3,FOO456
PR,3511502,389531,0,20,4,FOO456
MG,2731700,58883,3,8,4,CABL951
RR,3511500,309783,2,19,3,JJF753
RJ,2821601,171674,0,18,2,CABL951
SE,3511500,667343,0,4,4,XPTO123
MA,4669901,92404,3,21,2,XPTO123
MG,4322301,281935,0,4,4,MEL789
MS,4322302,393963,0,7,3,FOO456
RJ,4669999,445377,0,10,4,MEL789
AL,3511501,466519,1,1,4,XPTO123
SC,7112000,297413,0,18,3,FOO456
RS,4669999,620182,0,17,4,XPTO123
AL,2731700,45588,0,13,2,FOO456
PA,4321500,148208,0,14,2,JJF753
PB,2821601,830660,0,19,2,XPTO123
AL,3313901,318975,0,20,3,XPTO123
TO,4322302,493974,4,14,2,MEL789
MT,4673700,329472,0,2,3,MEL789
RJ,3511502,289998,0,11,4,JJF753
DF,3511502,495743,1,7,1,CABL951
SE,3321000,177113,0,5,4,JJF753
RS,4669901,45477,0,16,1,FOO456
GO,4321500,983284,0,1,2,JJF753
MG,4754703,836068,0,8,2,CABL951
DF,4322301,371598,4,4,2,MEL789
PB,4221903,267785,4,18,1,CABL951
MT,4221903,193889,0,15,4,FOO456
SC,4322302,955201,0,11,2,CABL951
MA,4322303,193869,0,9,3,CABL951
DF,4221903,913061,0,1,4,CABL951
PE,4322302,997465,0,17,4,FOO456
TO,2821601,933395,0,9,2,FOO456
RS,4669999,95630,4,8,3,XPTO123
BA,4754703,651636,0,6,3,XPTO123
DF,4669901,822970,0,3,1,CABL951
ES,3329599,911007,0,1,3,CABL951
DF,2731700,484444,0,18,2,XPTO123
PI,4322301,571966,3,2,1,FOO456
TO,4322303,291422,4,7,3,CABL951
ES,4754703,852875,0,2,1,CABL951
AM,4669999,230478,0,8,4,MEL789
RR,4322303,30710,1,19,4,XPTO123
AP,3511502,843684,0,15,3,CABL951
PE,4322303,116156,0,6,4,MEL789
MS,4221903,772727,0,3,3,MEL789
AL,3321000,766519,1,6,3,FOO456
PE,3511501,578500,0,18,1,JJF753
ES,3511500,874173,0,16,4,FOO456
RN,3511501,143128,4,18,3,FOO456
AL,2731700,485473,0,5,4,JJF753
AL,4322303,316269,0,21,4,MEL789
PA,4321500,199478,0,1,4,MEL789
PA,3511500,313539,4,2,2,CABL951
RJ,2731700,851859,0,20,2,MEL789
DF,3511500,76110,0,10,4,FOO456
PA,4322302,464612,0,10,1,MEL789
PE,4221902,467742,0,19,4,CABL951
MT,4669901,842106,3,20,4,CABL951
RS,4221903,184280,0,10,1,MEL789
SP,2731700,14597,0,16,4,CABL951
RJ,4754703,116112,0,19,3,CABL951
RJ,3511501,439885,4,19,3,JJF753
AL,3321000,109676,0,9,4,MEL789
PB,4321500,295544,2,9,2,XPTO123
DF,4322301,280814,1,14,3,CABL951
SE,4754703,156456,0,3,2,CABL951
ES,4221903,933964,1,21,3,FOO456
RJ,2731700,445079,0,20,1,JJF753
SP,4322303,615630,0,5,1,FOO456
CE,4322301,448540,0,17,2,XPTO123
RN,4322301,588346,0,1,4,XPTO123
CE,3313901,798854,0,19,2,FOO456
RO,4321500,279895,0,12,3,MEL789
PE,4221903,200236,1,6,4,JJF753
MA,3511502,234113,0,11,3,CABL951
DF,4321500,191270,0,11,3,XPTO123
GO,4322303,518323,2,6,1,MEL789
AP,7112000,974040,3,1,4,XPTO123
PE,2731700,652166,2,15,4,JJF753
MG,4322301,465011,1,21,1,FOO456
TO,2821602,926196,0,5,2,JJF753
RS,4669999,763295,0,8,2,CABL951
ES,4322302,631507,4,8,4,MEL789
PI,4221902,331372,0,1,3,MEL789
RS,3329599,505637,1,3,2,FOO456
RO,3511501,851652,0,2,2,XPTO123
GO,3511500,181886,1,11,1,CABL951
RS,3321000,956519,0,19,2,MEL789
DF,4754703,419371,4,18,1,FOO456
AM,4321500,549845,0,2,4,XPTO123
PR,3511501,103897,1,10,3,CABL951
PR,3329599,938357,2,14,1,JJF753
SE,4321500,645312,0,10,1,JJF753
GO,3511501,918088,2,12,3,FOO456
RR,7112000,338031,2,11,4,XPTO123
ES,4221903,27119,0,7,3,XPTO123
GO,2821602,946280,4,14,3,CABL951
MT,4754703,786478,3,7,4,MEL789
MA,3329599,806213,0,11,3,MEL789
PB,4321500,907765,0,18,3,XPTO123
MG,3329599,416966,1,15,3,CABL951
PI,3511501,695293,0,16,1,JJF753
SC,4669999,660461,0,16,3,CABL951
RO,4742300,238082,0,9,4,XPTO123
MS,3511501,585877,0,20,1,MEL789
MT,4322302,725322,0,10,2,CABL951
MS,4321500,780048,2,21,3,FOO456
AC,4742300,548102,0,18,1,JJF753
BA,2821602,693562,3,6,3,XPTO123
SP,4221902,97753,0,11,2,FOO456
DF,2821601,450389,0,2,2,MEL789
TO,4321500,560916,0,12,2,CABL951
SP,4321500,693925,1,14,3,MEL789
PA,4669901,399529,0,8,4,JJF753
RN,4221902,272934,1,14,4,MEL789
PI,4321500,296266,0,5,2,CABL951
RO,3511501,640332,0,11,4,CABL951
RO,3321000,791640,0,18,1,FOO456
SE,4322301,38592,0,19,2,FOO456
SC,4322303,254165,0,11,4,FOO456
RJ,3321000,13016,1,16,2,XPTO123
SE,2731700,164762,0,21,4,FOO456
PE,4669999,20319,0,14,1,XPTO123
SC,4221903,713014,0,19,1,JJF753
PA,7112000,636215,2,7,3,MEL789
RJ,4322301,443985,3,7,1,XPTO123
RJ,4221902,372535,2,6,3,XPTO123
DF,3329599,495881,0,6,1,JJF753
CE,3511502,847222,2,3,1,FOO456
DF,4321500,77715,0,17,1,FOO456
SE,3313901,905229,4,17,1,CABL951
SE,4673700,196691,4,1,2,MEL789
AP,7112000,75623,0,10,3,XPTO123
PA,4669999,365278,0,19,3,XPTO123
PR,4673700,546991,3,14,1,CABL951
PE,2731700,464088,0,1,1,CABL951
RO,4322303,417259,0,7,3,XPTO123
AC,4322302,894386,0,13,4,CABL951
RR,3321000,367176,0,2,3,FOO456
TO,4321500,640575,4,10,3,CABL951
PR,3511501,807841,0,11,3,MEL789
GO,3511502,891980,0,5,1,FOO456
ES,2731700,255520,0,9,4,CABL951
PB,4221903,360640,4,17,4,FOO456
PA,4322302,652760,0,13,2,XPTO123
SE,3511501,917690,4,3,4,JJF753
SP,2821601,260119,0,17,1,MEL789
MA,4221903,183411,0,3,1,JJF753
ES,4673700,29540,0,2,2,MEL789
MT,4322301,663035,0,19,4,XPTO123
RJ,2821601,25439,2,13,4,CABL951
RS,3313901,336341,0,6,2,CABL951
GO,4669901,109025,0,18,4,JJF753
ES,3511501,778637,1,17,3,XPTO123
SC,3511500,162317,0,14,4,XPTO123
BA,4669999,827459,3,12,4,CABL951
SE,4669901,163423,3,10,3,MEL789
AC,4322303,71109,1,20,3,CABL951
MG,3511501,613068,0,19,3,XPTO123
AM,4321500,841950,0,12,1,MEL789
PI,4669901,68464,0,1,4,MEL789
RJ,3511500,272158,0,14,4,MEL789
PR,3329599,338335,1,2,4,JJF753
RN,2821602,675832,0,3,3,FOO456
PE,4673700,178903,0,20,1,JJF753
SE,7112000,202897,0,2,3,JJF753
AL,4221902,687638,0,2,4,XPTO123
DF,3511501,283519,1,20,3,MEL789
RR,4322301,169773,1,3,3,CABL951
PB,2731700,201858,0,19,2,XPTO123
PR,3313901,161831,1,3,4,CABL951
GO,3511500,708692,1,9,4,JJF753
TO,4221903,497084,0,16,1,FOO456
SC,4221903,157717,1,15,4,XPTO123
AL,2821602,407789,3,3,2,XPTO123
ES,7112000,588501,3,7,1,FOO456
PB,3313901,860085,0,8,4,FOO456
BA,4221902,646625,0,1,4,JJF753
PB,2731700,447919,0,11,1,CABL951
RR,3511502,797307,0,4,4,CABL951
MT,7112000,731882,0,6,4,CABL951
SC,2731700,21016,0,9,2,MEL789
MG,3511502,41575,4,1,3,CABL951
MS,4321500,148875,0,11,2,CABL951
PA,3511501,348752,0,6,3,JJF753
RR,4321500,833006,4,20,1,XPTO123
RN,4322303,676332,0,16,3,FOO456
RR,4742300,366601,0,4,2,XPTO123
AM,3511501,608998,0,11,1,MEL789
RS,4221903,147147,4,19,1,MEL789
PR,4754703,225060,1,15,2,MEL789
RJ,4669999,460779,4,3,1,XPTO123
RN,4669999,432936,0,15,2,XPTO123
DF,2821601,788292,0,5,1,MEL789
AP,2821601,260948,0,20,3,FOO456
RR,4754703,26816,0,17,1,CABL951
AL,2821602,478038,0,16,1,CABL951
ES,7112000,648677,0,14,2,JJF753
RO,3511501,568326,3,8,4,FOO456
RO,4669901,54687,3,11,3,XPTO123
SC,4322301,386088,2,11,2,CABL951
AP,3511502,590078,2,16,1,CABL951
BA,3321000,134927,0,20,2,FOO456
PB,2821602,81151,0,18,3,JJF753
RO,4669999,685913,0,2,3,XPTO123
GO,4673700,498372,3,16,4,XPTO123
AP,2821602,867514,0,21,2,CABL951
AL,4322302,377025,0,10,3,CABL951
PA,3329599,878664,0,4,4,JJF753
MG,4322302,365106,3,4,1,FOO456
GO,4742300,229503,0,8,4,MEL789
SE,2821601,570370,3,16,4,CABL951
MG,4321500,17208,0,8,4,FOO456
SP,4221903,12740,2,13,4,CABL951
RN,2731700,880462,1,2,1,XPTO123
RS,4669901,948382,0,6,3,XPTO123
AL,3511501,394008,2,1,4,FOO456
RR,4754703,888170,0,1,3,JJF753
PI,4322303,890043,0,2,3,JJF753
AC,7112000,86474,0,21,2,XPTO123
DF,4221902,141677,0,18,1,FOO456
PA,3329599,670473,0,8,1,CABL951
AP,4754703,856285,0,13,2,CABL951
AP,4322301,638545,1,17,3,XPTO123
TO,3511500,317352,0,20,3,JJF753
DF,3511502,189205,0,8,4,JJF753
MS,7112000,567586,0,6,2,CABL951
MT,4742300,771737,3,6,3,JJF753
SP,2821602,650996,0,9,3,FOO456
SE,4322302,655300,0,11,4,CABL951
MA,7112000,518772,1,13,1,MEL789
MT,2821601,462182,3,5,3,XPTO123
PR,4742300,850479,0,20,4,CABL951
PI,4742300,718693,1,9,4,FOO456
AL,4742300,450969,3,14,4,MEL789
SC,3511500,577241,0,13,3,CABL951
PA,7112000,138568,0,7,3,JJF753
MT,4673700,347959,2,13,3,XPTO123
PA,4742300,855850,0,6,4,MEL789
MA,4742300,244283,0,6,3,CABL951
BA,3313901,556407,1,15,2,JJF753
SP,4322302,46282,0,18,2,FOO456
AM,4322301,750254,0,9,1,JJF753
MG,4321500,675154,0,9,4,FOO456
AP,4742300,974524,0,18,3,FOO456
CE,4221903,189846,3,19,4,XPTO123
AL,4754703,439651,4,7,4,MEL789
AL,4221903,760654,4,21,1,MEL789
MT,7112000,540893,0,2,4,FOO456
DF,4673700,333389,0,7,1,MEL789
RS,3511502,575317,0,6,3,MEL789
SP,4221902,413439,0,5,3,FOO456
PR,4321500,802120,0,12,1,FOO456
PR,3511502,751099,2,18,4,CABL951
PE,2731700,292411,0,1,1,XPTO123
AP,3511501,475703,0,8,2,FOO456
RS,4322301,75840,0,17,2,FOO456
MA,2821601,910295,2,16,3,CABL951
MG,3511501,499591,0,16,3,CABL951
BA,3511500,426339,0,1,4,MEL789
DF,3511501,867739,0,16,2,FOO456
PR,4322301,942398,3,17,3,CABL951
SC,3511501,233728,0,2,3,MEL789
AL,4221902,984608,3,8,4,JJF753
AC,7112000,286244,1,10,4,CABL951
AL,4321500,574826,0,17,3,FOO456
AP,4754703,637572,4,18,2,XPTO123
RJ,3511502,521917,4,18,2,CABL951
PB,4742300,30688,0,17,4,XPTO123
AL,3511500,764779,1,4,3,MEL789
AP,4742300,502732,2,19,2,MEL789
MS,3511500,10903,3,13,3,FOO456
BA,4669901,996267,3,3,2,JJF753
RR,3321000,86037,0,4,4,XPTO123
MG,3511501,726933,0,3,2,MEL789
PB,4322301,712096,0,9,3,MEL789
PB,3321000,980368,4,17,4,CABL951
SE,2821601,952587,0,1,1,XPTO123
RO,3511500,121589,0,10,3,CABL951
GO,4669999,295785,0,21,1,XPTO123
BA,3321000,719864,0,3,4,JJF753
RR,2821602,171570,0,13,4,XPTO123
MA,3511502,324122,0,5,2,XPTO123
TO,4322301,63625,0,10,4,CABL951
PE,2821601,821303,0,4,2,FOO456
BA,4754703,88770,3,3,3,FOO456
RO,4322303,736798,2,11,3,JJF753
CE,3511501,778738,2,7,4,CABL951
RO,3329599,29064,0,2,4,JJF753
AM,2821602,918922,4,1,3,MEL789
PE,4221903,391164,0,12,3,JJF753
SE,4221902,957415,0,13,4,XPTO123
PE,3511500,267710,4,1,1,CABL951
PA,4221902,219334,1,9,3,XPTO123
MG,4673700,628562,0,20,1,MEL789
MG,4221902,964311,4,15,2,FOO456
DF,4322303,291589,0,13,1,CABL951
AC,4669901,528215,0,14,3,FOO456
TO,4322303,337489,0,13,3,XPTO123
PE,4221903,685675,1,8,3,JJF753
AM,4669901,162918,2,4,1,XPTO123
RN,3313901,920773,0,15,1,JJF753
RJ,2821601,633711,0,15,4,FOO456
AM,2821601,174051,2,17,2,XPTO123
AM,3511501,784395,1,4,3,MEL789
RO,4322303,39954,0,10,2,FOO456
AM,3313901,531243,0,7,4,MEL789
GO,3511501,733670,0,2,2,CABL951
ES,4322303,863698,2,20,1,MEL789
AP,2821601,672168,0,18,3,FOO456
PB,3313901,587660,0,5,1,CABL951
BA,4669999,669890,0,11,4,XPTO123
GO,3511501,873839,2,13,1,XPTO123
PI,4322301,413500,0,3,1,CABL951
AP,7112000,155794,0,3,1,MEL789
ES,3511500,497473,3,19,2,XPTO123
RS,4754703,415017,0,20,2,CABL951
AM,4322301,794641,3,18,1,FOO456
CE,4221903,893794,4,3,2,XPTO123
PB,4669901,655858,4,15,2,CABL951
PA,2821601,258909,3,8,4,XPTO123
MT,2821602,572385,4,20,3,FOO456
MT,2731700,459560,0,10,3,FOO456
RS,4321500,870342,1,21,2,FOO456
MT,3511501,888221,2,16,4,FOO456
PI,3313901,132136,4,8,1,CABL951
PE,3511501,402928,3,13,3,MEL789
MS,4321500,551921,3,9,4,JJF753
RO,3313901,17138,0,1,1,FOO456
GO,3511501,403635,0,19,3,FOO456
MS,3511501,708821,0,15,2,JJF753
BA,4321500,528394,0,15,3,MEL789
PE,4322301,656331,0,21,1,CABL951
SE,3329599,35132,0,1,1,JJF753
RJ,4221902,43249,0,10,3,CABL951
BA,4322303,530896,0,7,1,FOO456
BA,4322302,916577,1,16,1,FOO456
AM,4322301,49419,0,14,3,FOO456
RS,4322303,110952,0,9,3,FOO456
MA,2731700,853625,0,14,1,MEL789
PE,4669999,117136,3,5,2,CABL951
DF,2731700,548236,0,20,2,CABL951
AM,3511501,820728,0,20,3,XPTO123
ES,4742300,992362,0,14,3,JJF753
SP,4321500,643952,2,9,1,CABL951
PE,4321500,825043,0,12,3,MEL789
SE,3511500,488802,0,12,4,FOO456
PE,2821601,107306,3,15,4,FOO456
MG,3511502,764353,0,10,3,MEL789
CE,2731700,372929,4,9,4,CABL951
MA,4669999,461836,0,12,4,FOO456
TO,3329599,580340,0,21,4,MEL789
SE,3511501,456604,4,6,3,MEL789
RO,3511500,48596,0,3,2,JJF753
TO,4669999,353022,4,3,3,MEL789
PA,4754703,249001,0,5,4,JJF753
PR,3511500,302280,0,6,3,FOO456
RJ,3511500,739934,0,8,3,MEL789
SP,2821601,933865,0,13,2,CABL951
PR,3511501,523836,4,13,4,XPTO123
RO,4321500,34174,1,18,4,MEL789
SP,3511501,11296,0,10,3,MEL789
GO,3511502,928049,0,1,2,JJF753
MS,3313901,567950,0,18,1,CABL951
MS,4321500,103348,0,20,2,JJF753
RO,4669999,242800,0,16,2,CABL951
CE,3321000,534853,0,14,4,FOO456
TO,4221903,233724,0,19,2,MEL789
AC,3511502,813334,2,14,2,CABL951
RN,2821601,930415,0,4,1,JJF753
MT,4322301,878724,0,19,2,XPTO123
MA,3511502,495341,0,2,1,MEL789
MT,4321500,73549,0,10,4,MEL789
PI,3511500,241782,3,3,3,CABL951
RS,4221902,443546,3,19,2,MEL789
PB,4321500,920573,0,13,4,JJF753
PA,2821602,704233,0,13,4,MEL789
MS,4742300,895013,2,20,3,MEL789
AP,4221902,606834,4,11,1,FOO456
CE,4321500,703431,3,9,2,CABL951
ES,4669901,899400,0,16,1,CABL951
RO,4322301,924391,0,3,4,XPTO123
PB,3511502,369358,1,11,2,XPTO123
MG,3511500,988344,0,18,4,MEL789
SE,4221903,472015,0,20,1,XPTO123
RN,3511500,414663,0,1,1,FOO456
SC,2731700,289122,0,19,2,XPTO123
MA,4221902,958888,1,17,2,XPTO123
SP,4754703,974736,4,9,2,XPTO123
ES,4754703,256531,1,17,2,CABL951
MG,4321500,741298,2,21,2,JJF753
BA,4322302,451083,0,10,4,FOO456
RO,7112000,670557,0,8,4,CABL951
AL,4669901,937267,1,7,4,CABL951
BA,2821602,464355,0,7,3,XPTO123
PE,3511502,176166,0,1,4,FOO456
SP,2731700,750659,0,15,1,CABL951
PE,2821602,375536,3,14,3,XPTO123
MS,4322302,668270,0,8,3,CABL951
MG,2821601,900723,0,19,4,JJF753
SP,7112000,245368,0,21,4,XPTO123
RN,4322301,219598,0,19,2,MEL789
RS,3321000,119990,0,11,3,FOO456
PB,2821602,920231,0,7,2,CABL951
PA,4221902,264723,2,9,3,XPTO123
PR,4322303,235811,0,13,3,MEL789
RR,3321000,36401,0,15,4,XPTO123
RJ,4322301,478184,4,5,4,CABL951
ES,2821601,836704,0,10,2,MEL789
BA,3511500,881142,3,19,1,FOO456
CE,4322303,199608,1,17,4,FOO456
PE,2731700,533001,1,13,1,CABL951
RN,4221902,984038,0,13,1,MEL789
PE,2821601,863126,0,16,2,CABL951
PI,2821602,792433,0,13,3,MEL789
GO,4322301,405102,0,16,1,CABL951
MT,4322303,785971,2,13,2,FOO456
PB,4669999,375465,1,8,2,MEL789
DF,3511501,909016,1,6,3,CABL951
PA,4322302,35668,0,2,4,FOO456
SE,3511501,63424,0,3,3,CABL951
CE,3511500,618803,0,2,4,XPTO123
PB,3329599,725794,0,7,3,MEL789
TO,3511501,911012,0,8,2,XPTO123
PA,2731700,721290,3,8,3,FOO456
PA,3511502,69841,3,10,4,FOO456
AM,4322302,367185,1,6,1,MEL789
SE,3329599,349631,0,10,1,CABL951
AP,4754703,997952,4,7,3,JJF753
PI,4754703,250785,1,4,1,JJF753
ES,3511501,794820,3,17,1,MEL789
MA,3329599,272721,0,20,3,CABL951
RJ,4754703,32266,0,10,2,MEL789
SC,3511501,521677,0,17,2,MEL789
MG,4669901,752228,4,5,1,XPTO123
RN,3511501,504270,3,19,3,XPTO123
MT,2821601,460533,0,11,1,JJF753
MA,2731700,512580,0,19,3,JJF753
AP,3321000,942187,0,14,1,JJF753
SC,2821601,940721,0,2,2,CABL951
BA,4321500,389940,4,18,3,XPTO123
PE,3511502,467725,0,21,2,FOO456
AC,4322302,975597,0,19,2,MEL789
SC,3313901,606023,0,11,3,MEL789
TO,2821601,209425,4,7,4,MEL789
RO,4673700,387430,2,17,1,JJF753
RS,4669999,214852,0,7,1,FOO456
PR,4322301,358387,0,7,2,MEL789
TO,2731700,786423,3,5,2,MEL789
MT,3329599,860904,1,10,1,JJF753
AL,3511500,722706,4,9,3,CABL951
SC,4742300,469715,4,11,1,FOO456
AP,4221902,341739,1,6,3,JJF753
PR,4669999,835702,0,21,4,MEL789
AM,4742300,230939,3,4,2,JJF753
BA,4754703,80717,0,5,3,XPTO123
ES,4742300,490635,2,1,4,XPTO123
PI,3321000,764185,0,10,2,FOO456
RR,4322302,414467,0,15,1,MEL789
RR,3321000,54879,3,19,1,XPTO123
MG,3511501,744388,0,15,1,FOO456
RS,2821601,980630,0,13,1,CABL951
AM,3321000,535275,0,13,4,FOO456
RO,3511501,109565,4,13,1,XPTO123
SE,4321500,546692,0,13,1,MEL789
MT,3511501,692136,0,21,1,JJF753
SE,2731700,65554,3,4,1,FOO456
SE,4221902,714071,0,9,2,JJF753
GO,4322301,807822,0,14,3,XPTO123
ES,3329599,177698,2,7,1,JJF753
PI,3321000,48430,0,9,2,CABL951
SE,4754703,848529,4,6,4,CABL951
PE,3511500,217488,4,12,3,FOO456
ES,4322303,386600,0,19,1,CABL951
RO,3511500,348977,0,21,3,MEL789
AP,4669901,844410,4,18,1,MEL789
AL,4221903,445497,0,4,4,CABL951
AC,3511500,456688,1,5,3,CABL951
PA,3511501,95968,3,15,4,XPTO123
MG,4754703,843656,0,4,4,JJF753
MT,3511501,202643,3,20,1,CABL951
TO,4321500,285100,3,9,1,FOO456
GO,3511501,649126,2,9,4,JJF753
TO,4673700,147928,0,2,2,FOO456
PB,3321000,332067,0,14,1,XPTO123
MA,4669901,108459,0,4,2,JJF753
GO,4322302,437366,1,19,4,FOO456
SP,3313901,881149,4,2,2,MEL789
PB,2821601,356479,4,4,4,XPTO123
RR,3313901,853049,0,9,4,FOO456
MA,4754703,789859,4,11,4,MEL789
AL,7112000,887267,0,21,3,MEL789
SP,4669999,878842,0,13,4,MEL789
AM,7112000,969527,0,2,3,FOO456
SC,3511501,826169,0,5,1,FOO456
PI,3511502,929901,0,2,2,XPTO123
RJ,3511501,934166,0,9,4,XPTO123
PR,4321500,442580,1,3,2,MEL789
PI,3511501,817203,0,7,1,JJF753
SC,4221902,76833,0,16,3,FOO456
AM,3511500,823084,4,15,3,CABL951
DF,3511502,950024,2,6,1,FOO456
ES,3511501,806280,0,12,3,CABL951
